省份,区站号,站名,纬度,经度,气压传感器拔海高度（米）,观测场拔海高度（米）
内蒙古,50425,额尔古纳市,50.15,120.11,582.3,581.4
内蒙古,50431,根河市,50.47,121.31,718.2,717.0
内蒙古,50434,图里河,50.29,121.41,733.7,732.6
内蒙古,50445,鄂伦春自治旗,50.35,123.44,424.7,423.7
内蒙古,50514,满洲里,49.35,117.19,662.7,661.8
内蒙古,50524,陈巴尔虎旗,49.19,119.26,578.5,576.6
内蒙古,50525,鄂温克族自治旗,49.09,119.45,621.6,620.8
内蒙古,50526,牙克石市,49.17,120.42,670.0,668.8
内蒙古,50527,海拉尔,49.15,119.42,650.4,649.6
内蒙古,50548,小二沟,49.12,123.43,287.2,286.1
内蒙古,50603,新巴尔虎右旗,48.4,116.49,556.0,554.2
内蒙古,50618,新巴尔虎左旗,48.13,118.16,644.6,642.0
内蒙古,50639,扎兰屯,48,122.44,308.5,306.5
内蒙古,50645,莫力达瓦达斡尔族自治旗,48.29,124.29,196.5,195.0
内蒙古,50647,阿荣旗,48.08,123.29,237.2,236.2
内蒙古,50727,阿尔山,47.1,119.56,997.7,997.2
内蒙古,50834,索伦,46.36,121.13,501.0,499.7
内蒙古,50913,乌拉盖,45.43,118.5,866.1,865.0
内蒙古,50915,东乌珠穆沁,45.31,116.58,838.9,838.7
内蒙古,50924,霍林郭勒,45.32,119.4,824.7,823.7
内蒙古,50928,巴雅尔吐胡硕,45.04,120.2,629.1,628.3
内蒙古,50934,突泉,45.23,121.35,312.7,311.7
内蒙古,50937,科尔沁右翼中旗,45.04,121.29,283.1,282.1
内蒙古,53068,二连浩特,43.38,111.56,964.1,963.1
内蒙古,53083,那仁宝力格,44.37,114.09,1182.9,1181.6
内蒙古,53149,满都拉气象站,42.32,110.08,1226.7,1225.2
内蒙古,53192,阿巴嘎旗,44.01,114.57,1127.3,1126.1
内蒙古,53231,海力素,41.24,106.24,1510.6,1509.6
内蒙古,53289,镶黄旗,42.14,113.5,1322.8,1322.1
内蒙古,53336,乌拉特中旗,41.34,108.31,1289.2,1288.0
内蒙古,53337,五原,41.06,108.16,1025.4,1023.7
